Names;lastNames;email;password;alergias;numero_alergias
María;López;marialopez088@example.com;Abc123!@#;;0
Benjamín;González;benjamingonzalez089@example.com;Def456$#@;;0
Renata;Rojas;renatarojas090@example.com;Ghi789?&$#@;;0
Juan;López;juanlopez091@example.com;Abc123!@#;;0
María;García;mariagarcia092@example.com;Def456$#@;;0
Carlos;Martínez;carlosmartinez093@example.com;Ghi789?&$#@;;0
Laura;Rodríguez;laurarodriguez094@example.com;Jkl012.?&$#@;;0
Pedro;Herrera;pedroherrera095@example.com;Mno345?&$#@;;0
Ana;Torres;anatorres096@example.com;Pqr678?&$#@;;0
Alejandro;Ruiz;alejandroruiz097@example.com;Stu901.?&$#@;;0
Sofía;Jiménez;sofiajimenez098@example.com;Vwx234.?&$#@;;0
Luis;Gómez;luisgomez099@example.com;Yz1234.?&$#@;;0
Elena;Díaz;elenadiaz100@example.com;567Abc.?&$#@;;0
Jorge;Sánchez;jorgesanchez101@example.com;890Def.?&$#@;;0
Isabel;Lara;isabellara102@example.com;123Ghi.?&$#@;;0
Fernando;Cruz;fernandocruz103@example.com;456Jkl.?&$#@;;0
Mariana;Navarro;mariananavarro104@example.com;789Mno.?&$#@;;0
Roberto;Ortega;robertoortega105@example.com;012Pqr.?&$#@;;0
Daniela;Vargas;danielavargas106@example.com;345Stu.?&$#@;;0
Gustavo;Mendoza;gustavomendoza107@example.com;678Vwx.?&$#@;;0
Paola;Rojas;paolarojas108@example.com;901Yz.?&$#@;;0
Ricardo;Gallardo;ricardogallardo109@example.com;234567Abc.?&$#@;;0
Carmen;Soto;carmensoto110@example.com;890123Def.?&$#@;;0
Gabriel;Hernández;gabrielhernandez091@example.com;Abc123!@#;Aceite de oliva,Vinagre de vino blanco,Salsa de jalapeño;3
Valentina;Fernández;valentinafernandez092@example.com;Def456$#@;Vinagre de arroz,Salsa de enchilada,Salsa de tomate;3
Javier;Ruíz;javierruiz093@example.com;Ghi789?&$#@;Salsa barbacoa,Vino blanco,Carne picada;3
Camila;Gómez;camilagomez094@example.com;Jkl012.?&$#@;Salsa de queso,Salsa de tamarindo,Langostinos;3
Diego;Torres;diegotorres095@example.com;Mno345?&$#@;Salsa de chipotle,Cerveza,Salchichas;3
Lucía;Molina;luciamolina096@example.com;Pqr678?&$#@;Salsa hoisin,Vino tinto,Mejillones;3
Andrés;Silva;andrésilva097@example.com;Stu901.?&$#@;Salsa de soja,Caldo de pollo,Almejas;3
Valeria;Rojas;valeriarojas098@example.com;Vwx234.?&$#@;Salsa de chile,Caldo de carne,Calamares;3
Sebastián;Ortega;sebastianortega099@example.com;Yz1234.?&$#@;Vinagre de manzana,Caldo de pollo,Pulpo;3
Catalina;Vargas;catalinavargas100@example.com;567Abc.?&$#@;Vinagre balsámico,Huevo,Salsa de tomate;3
Mateo;Mendez;mateomendez101@example.com;890Def.?&$#@;Leche evaporada,Piña,Salsa de queso;3
Isabella;Cruz;isabellacruz102@example.com;123Ghi.?&$#@;Crema de leche,Mango,Camarones;3
Emilia;Herrera;emiliaherrera103@example.com;456Jkl.?&$#@;Leche condensada,Piñones,Salsa de chipotle;3
Santiago;Lara;santiagolara104@example.com;789Mno.?&$#@;Leche de coco,Nueces,Champán;3
Sara;González;saragonzalez105@example.com;012Pqr.?&$#@;Yogur,Avellanas,Vino espumoso;3
Benjamín;Ríos;benjaminrios106@example.com;345Stu.?&$#@;Mayonesa,Pasas,Harina;3
Victoria;Vega;victoriavega107@example.com;678Vwx.?&$#@;Mostaza,Chocolate negro,Patatas;3
Ángel;Gutiérrez;angelgutierrez108@example.com;901Yz.?&$#@;Mostaza Dijon,Chocolate con leche,Zanahorias;3
Natalia;Pérez;nataliaperez109@example.com;234567Abc.?&$#@;Mantequilla de maní,Piña,Salsa de soja;3
Lucas;Escobar;lucasescobar110@example.com;890123Def.?&$#@;Mantequilla de almendra,Mango,Caldo de pollo;3
Julia;Pérez;juliaperez091@example.com;Abc123!@#;Vinagre de manzana,Albahaca,Piñones;3
Adrián;González;adriangonzalez092@example.com;Def456$#@;Salsa de tomate,Almendras,Mostaza;3
Ana;Santos;anasantos093@example.com;Ghi789?&$#@;Vinagre balsámico,Alcaparras,Pimientos;3
Pedro;Hernández;pedrohernandez094@example.com;Jkl012.?&$#@;Salsa de soja,Ajo,Caldo de pollo;3
Carolina;Silva;carolinasilva095@example.com;Mno345?&$#@;Salsa barbacoa,Acelga,Champiñones;3
Andrés;Martínez;andresmartinez096@example.com;Pqr678?&$#@;Salsa de jalapeño,Anchoas,Cebolla;3
Laura;Molina;lauramolina097@example.com;Stu901.?&$#@;Salsa de queso,Azúcar,Pepinillos;3
Gabriel;Vargas;gabrielvargas098@example.com;Vwx234.?&$#@;Salsa de chipotle,Berenjena,Perejil;3
Valentina;Gómez;valentinagomez099@example.com;Yz1234.?&$#@;Salsa de tamarindo,Cebollino,Pimientos;3
Santiago;Rojas;santiagorojas100@example.com;567Abc.?&$#@;Salsa de chile,Champán,Piñones;3
María;Torres;mariatorres101@example.com;890Def.?&$#@;Salsa de enchilada,Chiles en escabeche,Perejil;3
Carlos;Ortega;carlosortega102@example.com;123Ghi.?&$#@;Salsa de queso,Chirimoya,Pimientos;3
Daniela;Méndez;danielamendez103@example.com;456Jkl.?&$#@;Salsa de soja,Coliflor,Pepinillos;3
Javier;Cruz;javiercruz104@example.com;789Mno.?&$#@;Salsa de tomate,Espárragos,Perejil;3
Fernanda;Herrera;fernandaherrera105@example.com;012Pqr.?&$#@;Salsa de queso,Guisantes,Pimientos;3
Alejandro;Lara;alejandrolara106@example.com;345Stu.?&$#@;Salsa de chipotle,Hinojo,Piñones;3
Isabella;Gutiérrez;isabellagutierrez107@example.com;678Vwx.?&$#@;Salsa de chile,Lechuga,Pepinillos;3
Mariana;Vega;marianavega108@example.com;901Yz.?&$#@;Salsa de tamarindo,Limón,Pimientos;3
Camilo;Paredes;camiloparedes109@example.com;234567Abc.?&$#@;Salsa de enchilada,Mango,Perejil;3
Valeria;Ríos;valeriarios110@example.com;890123Def.?&$#@;Salsa de tomate,Melón,Pimientos;3
Julian;Orozco;julianorozco111@example.com;012345Ghi.?&$#@;Salsa de queso,Nabo,Pepinillos;3
Luciana;Cortés;lucianacortes112@example.com;678901Jkl.?&$#@;Salsa de soja,Naranja,Pimientos;3
Diego;Gallardo;diegogallardo113@example.com;234567Mno.?&$#@;Salsa de tomate,Pan,Perejil;3
Valentina;Villalobos;valentinavillalobos114@example.com;890123Pqr.?&$#@;Salsa de queso,Papa,Pimientos;3
Matías;Navarro;matiasnavarro115@example.com;456789Stu.?&$#@;Salsa de chipotle,Parmesano,Pepinillos;3
Daniela;Contreras;danielacontreras116@example.com;0123456Vwx.?&$#@;Salsa de chile,Pasta,Pimientos;3
Joaquín;Escalante;joaquinescalante117@example.com;789012Yz.?&$#@;Salsa de tamarindo,Patata,Perejil;3
Valeria;Molina;valeriamolina118@example.com;2345678Abc.?&$#@;Salsa de enchilada,Pepino,Pimientos;3
Lucas;Cordero;lucascordero119@example.com;9012349Def.?&$#@;Salsa de tomate,Pera,Pepinillos;3
Mía;Cabrera;miacabrera120@example.com;567890Ghi.?&$#@;Salsa de queso,Pepinillos,Pimientos;3
Sofía;Hernández;sofiahernandez121@example.com;Abc123!@#;Cebolla,Zanahoria,Tomate;3
Dylan;González;dylangonzalez122@example.com;Def456$#@;Lechuga,Pepino,Apio;3
Valentina;Martínez;valentinamartinez123@example.com;Ghi789?&$#@;Pimiento,Rúcula,Espinaca;3
Sebastián;López;sebastianlopez124@example.com;Jkl012.?&$#@;Cilantro,Pepinillos,Berenjena;3
Isabella;Torres;isabellatorres125@example.com;Mno345?&$#@;Puerro,Espárragos,Remolacha;3
Mateo;García;mateogarcia126@example.com;Pqr678?&$#@;Apio,Espinaca,Pepino;3
Lucía;Silva;luciasilva127@example.com;Stu901.?&$#@;Tomate,Zanahoria,Puerro;3
Benjamín;Rojas;benjaminrojas128@example.com;Vwx234.?&$#@;Berenjena,Espinaca,Rúcula;3
Emilia;Vargas;emiliavargas129@example.com;Yz1234.?&$#@;Cebolla,Tomate,Rúcula;3
Samuel;Molina;samuelmolina130@example.com;567Abc.?&$#@;Remolacha,Pepinillos,Cilantro;3
Valeria;Herrera;valeriaherrera131@example.com;890Def.?&$#@;Espinaca,Puerro,Cilantro;3
Matías;Ortega;matiasortega132@example.com;123Ghi.?&$#@;Zanahoria,Rúcula,Berenjena;3
Luciana;Cruz;lucianacruz133@example.com;456Jkl.?&$#@;Pepinillos,Cilantro,Tomate;3
Joaquín;Gutiérrez;joaquingutierrez134@example.com;789Mno.?&$#@;Rúcula,Berenjena,Puerro;3
María;Vega;mariavega135@example.com;012Pqr.?&$#@;Espinaca,Tomate,Pepinillos;3
Emilio;Gómez;emiliogomez136@example.com;345Stu.?&$#@;Cilantro,Rúcula,Remolacha;3
Camila;Ríos;camilarios137@example.com;678Vwx.?&$#@;Berenjena,Pepinillos,Zanahoria;3
Santiago;Paredes;santiagoparedes138@example.com;901Yz.?&$#@;Pepinillos,Espinaca,Tomate;3
Isabella;Navarro;isabellanavarro139@example.com;234567Abc.?&$#@;Rúcula,Pepinillos,Cebolla;3
Maximiliano;Cortés;maximilianocortes140@example.com;890123Def.?&$#@;Berenjena,Cebolla,Espinaca;3
Lucía;Guerrero;luciaguerrero141@example.com;456789Ghi.?&$#@;Pepinillos,Cilantro,Zanahoria;3
Benjamín;Villalobos;benjaminvillalobos142@example.com;012345Jkl.?&$#@;Cebolla,Remolacha,Pepinillos;3
Valentina;Muñoz;valentinamunoz143@example.com;678901Mno.?&$#@;Espinaca,Tomate,Zanahoria;3
Matías;Soto;matiassoto144@example.com;234567Pqr.?&$#@;Pepinillos,Berenjena,Cilantro;3
Isabella;Campos;isabellacampos145@example.com;890123Stu.?&$#@;Rúcula,Zanahoria,Tomate;3
Emilio;Herrera;emilioherrera146@example.com;456789Vwx.?&$#@;Cebolla,Pepinillos,Remolacha;3
Camila;Aguilar;camilaaguilar147@example.com;0123456Yz.?&$#@;Berenjena,Cebolla,Espinaca;3
Santiago;Ortiz;santiagoortiz148@example.com;789012Abc.?&$#@;Tomate,Pepinillos,Cilantro;3
Valeria;Delgado;valeriadelgado149@example.com;2345678Def.?&$#@;Rúcula,Berenjena,Pepinillos;3
Emilia;Paz;emiliapaz150@example.com;9012349Ghi.?&$#@;Pepinillos,Cilantro,Remolacha;3
Natalia;López;natalialopez@example.com;Natalia123!;Perejil,Zanahoria,Espinaca;3
Diego;García;diegogarcia@example.com;Diego456$;Lechuga,Cilantro,Pepinillos;3
Valentina;Ramírez;valentinaramirez@example.com;Valentina789#;Tomate,Pimiento,Rúcula;3
Sebastián;Martínez;sebastianmartinez@example.com;Sebastian012.?;Puerro,Cebolla,Remolacha;3
Isabella;Torres;isabellatorres@example.com;Isabella345?;Berenjena,Zanahoria,Tomate;3
Mateo;Vargas;mateovargas@example.com;Mateo678!;Pepino,Apio,Espinaca;3
Lucía;Rojas;luciarojas@example.com;Lucia901$;Pimiento,Rúcula,Cilantro;3
Benjamín;Silva;benjaminsilva@example.com;Benjamin234&;Cebolla,Tomate,Espinaca;3
Emilia;Molina;emiliamolina@example.com;Emilia567@;Perejil,Pepinillos,Berenjena;3
Samuel;Herrera;samuelherrera@example.com;Samuel890!;Pimiento,Espárragos,Puerro;3
Valeria;Gómez;valeriagomez@example.com;Valeria012#;Lechuga,Pepino,Apio;3
Matías;Cruz;matiascruz@example.com;Matias345?;Tomate,Zanahoria,Espinaca;3
Luciana;Paredes;lucianaparedes@example.com;Luciana678@;Perejil,Berenjena,Pepinillos;3
Joaquín;Vega;joaquinvega@example.com;Joaquin901&;Rúcula,Pimiento,Cilantro;3
María;Ortega;mariaortega@example.com;Maria234!;Cebolla,Espárragos,Remolacha;3
Emilio;Gutiérrez;emiliogutierrez@example.com;Emilio567#;Pepino,Lechuga,Cilantro;3
Camila;Navarro;camilanavarro@example.com;Camila890&;Berenjena,Rúcula,Zanahoria;3
Santiago;Cortés;santiagocortes@example.com;Santiago012@;Pimiento,Pepinillos,Espinaca;3
Isabella;Guerrero;isabellaguerrero@example.com;Isabella345!;Tomate,Puerro,Cilantro;3
Maximiliano;Soto;maximilianosoto@example.com;Maximiliano678#;Berenjena,Pepinillos,Espinaca;3
Lucía;Campos;luciacampos@example.com;Lucia901?;Pimiento,Rúcula,Remolacha;3
Benjamín;Herrera;benjaminherrera@example.com;Benjamin234@;Cebolla,Pepinillos,Cilantro;3
Valentina;Villalobos;valentinavillalobos@example.com;Valentina567&;Espinaca,Tomate,Zanahoria;3
Matías;Muñoz;matiasmunoz@example.com;Matias890#;Pepinillos,Berenjena,Cilantro;3
Emilia;Delgado;emiliadelgado@example.com;Emilia012.!;Rúcula,Zanahoria,Tomate;3
Camila;Herrera;camilaherrera@example.com;Camila345@;Cebolla,Pepinillos,Remolacha;3
Santiago;Aguilar;santiagoaguilar@example.com;Santiago678?;Berenjena,Cebolla,Espinaca;3
Valeria;Ortiz;valeriaortiz@example.com;Valeria901@;Tomate,Pepinillos,Cilantro;3
Emilio;Delgado;emiliodelgado@example.com;Emilio234#;Rúcula,Berenjena,Pepinillos;3
Gabriel;Hernández;gabrielhernandez@example.com;Gabriel123$;Perejil,Zanahoria,Espinaca,Cilantro;4
Valentina;Gómez;valentinagomez@example.com;Valentina456?;Lechuga,Cilantro,Pepinillos,Rúcula;4
Sebastián;Torres;sebastiantorres@example.com;Sebastian789!;Tomate,Pimiento,Rúcula,Cebolla;4
Isabella;Silva;isabellasilva@example.com;Isabella012.?;Puerro,Cebolla,Remolacha,Apio;4
Mateo;Molina;mateomolina@example.com;Mateo345@;Berenjena,Zanahoria,Tomate,Espinaca;4
Lucía;García;lucíagarcia@example.com;Lucia678#;Pepino,Apio,Espinaca,Pimiento;4
Benjamín;Rojas;benjaminrojas@example.com;Benjamin901!;Pimiento,Rúcula,Cilantro,Lechuga;4
Emilia;Vargas;emiliavargas@example.com;Emilia234?;Cebolla,Tomate,Espinaca,Pepinillos;4
Samuel;Ramírez;samuelramirez@example.com;Samuel567&;Perejil,Pepinillos,Berenjena,Remolacha;4
Valeria;Paredes;valeriaparedes@example.com;Valeria890.!;Pimiento,Espárragos,Puerro,Cilantro;4
Matías;Herrera;matiasherrera@example.com;Matias012$;Lechuga,Pepino,Apio,Espinaca;4
Luciana;Cruz;lucianacruz@example.com;Luciana345#;Tomate,Zanahoria,Espinaca,Berenjena;4
Joaquín;Ortega;joaquinortega@example.com;Joaquin678.?;Pepinillos,Rúcula,Cilantro,Pimiento;4
María;Gutiérrez;mariagutierrez@example.com;Maria901@;Cebolla,Espárragos,Remolacha,Lechuga;4
Emilio;Navarro;emilionavarro@example.com;Emilio234$;Pepino,Lechuga,Cilantro,Berenjena;4
Camila;Cortés;camilacortes@example.com;Camila567?;Berenjena,Rúcula,Zanahoria,Tomate;4
Santiago;Silva;santiagosilva@example.com;Santiago890.!;Pimiento,Pepinillos,Espinaca,Puerro;4
Isabella;Campos;isabellacampos@example.com;Isabella012@;Tomate,Puerro,Cilantro,Apio;4
Maximiliano;Aguilar;maximilianoaguilar@example.com;Maximiliano345$;Berenjena,Pepinillos,Espinaca,Cebolla;4
Lucía;Ortiz;luciaortiz@example.com;Lucia678@;Pimiento,Rúcula,Cilantro,Espárragos;4
Benjamín;Delgado;benjamindelgado@example.com;Benjamin901&;Pepinillos,Lechuga,Tomate,Cebolla;4
Valentina;Pérez;valentinaperez@example.com;Valentina234#;Berenjena,Tomate,Rúcula,Cilantro;4
Sebastián;Herrera;sebastianherrera@example.com;Sebastian567.?;Lechuga,Cebolla,Espinaca,Pepinillos;4
Isabella;Ramírez;isabellaramirez@example.com;Isabella890@;Pimiento,Pepinillos,Remolacha,Cilantro;4
Mateo;Gómez;mateogomez@example.com;Mateo012&;Cebolla,Zanahoria,Espinaca,Pepinillos;4
Emilia;Torres;emiliatorres@example.com;Emilia345$;Rúcula,Tomate,Cilantro,Lechuga;4
Samuel;Vargas;samuelvargas@example.com;Samuel678@;Pimiento,Espinaca,Berenjena,Remolacha;4
Valeria;Hernández;valeriahernandez@example.com;Valeria901?;Lechuga,Cilantro,Pepinillos,Rúcula;4
Matías;Silva;matiassilva@example.com;Matias234!;Puerro,Cebolla,Tomate,Espinaca;4
Gabriela;Mendoza;gabrielamendoza@example.com;Gabriela123$;Perejil,Zanahoria,Espinaca,Cilantro;4
Valentín;Fuentes;valentinfuentes@example.com;Valentin456?;Lechuga,Cilantro,Pepinillos,Rúcula;4
Sofía;Guerrero;sofiaguerrero@example.com;Sofia789!;Tomate,Pimiento,Rúcula,Cebolla;4
Ismael;Nieto;ismaelnieto@example.com;Ismael012.?;Puerro,Cebolla,Remolacha,Apio;4
Luciano;Peralta;lucianoperalta@example.com;Luciano345@;Berenjena,Zanahoria,Tomate,Espinaca;4
Benicia;Vargas;beniciavargas@example.com;Benicia678#;Pepino,Apio,Espinaca,Pimiento;4
Emilio;Ríos;emiliorios@example.com;Emilio901.!;Pimiento,Rúcula,Cilantro,Lechuga;4
Mariana;Pérez;mariaperez@example.com;Mariana234?;Cebolla,Tomate,Espinaca,Pepinillos;4
Santino;Sánchez;santinosanchez@example.com;Santino567&;Perejil,Pepinillos,Berenjena,Remolacha;4
Valeria;Herrera;valeriaherrera@example.com;Valeria890.!;Pimiento,Espárragos,Puerro,Cilantro;4
Matías;Vega;matiasvega@example.com;Matias012$;Lechuga,Pepino,Apio,Espinaca;4
Luciana;Rojas;lucianarojas@example.com;Luciana345#;Tomate,Zanahoria,Espinaca,Berenjena;4
Joaquín;López;joaquinlopez@example.com;Joaquin678.?;Pepinillos,Rúcula,Cilantro,Pimiento;4
María;Carrillo;mariacarrillo@example.com;Maria901@;Cebolla,Espárragos,Remolacha,Lechuga;4
Emilio;Vargas;emiliovargas@example.com;Emilio234$;Pepino,Lechuga,Cilantro,Berenjena;4
Camila;Lara;camilalara@example.com;Camila567?;Berenjena,Rúcula,Zanahoria,Tomate;4
Santiago;Cortés;santiagocortes@example.com;Santiago890.!;Pimiento,Pepinillos,Espinaca,Puerro;4
Isabella;Velasco;isabellavelasco@example.com;Isabella012@;Tomate,Puerro,Cilantro,Apio;4
Maximiliano;Ortega;maximilianoortega@example.com;Maximiliano345$;Berenjena,Pepinillos,Espinaca,Cebolla;4
Lucía;Vargas;luciavargas@example.com;Lucia678@;Pimiento,Rúcula,Cilantro,Pepino;4
Sebastián;López;sebastianlopez@example.com;Sebastian901&;Apio,Espinaca,Pepinillos,Berenjena;4
Valentina;Pineda;valentinapineda@example.com;Valentina234#;Pimiento,Cebolla,Tomate,Espinaca;4
Alejandro;Soto;alejandrosoto@example.com;Alejandro567.?;Pepinillos,Lechuga,Tomate,Cilantro;4
Martina;Olivares;martaolivares@example.com;Martina890@;Berenjena,Tomate,Rúcula,Cilantro;4
Emmanuel;Herrera;emmanuelherrera@example.com;Emmanuel012&;Lechuga,Cebolla,Espinaca,Pepinillos;4
Rodrigo;Mendoza;rodrigomendoza@example.com;Rodrigo123$;Perejil,Zanahoria,Espinaca,Cilantro;4
Valentina;Fuentes;valentinafuentes@example.com;Valentina456?;Lechuga,Cilantro,Pepinillos,Rúcula;4
Isabella;Guerrero;isabellaguerrero@example.com;Isabella789!;Tomate,Pimiento,Rúcula,Cebolla;4
Lucas;Nieto;lucasnieto@example.com;Lucas012.?;Puerro,Cebolla,Remolacha,Apio;4
Elena;Peralta;elenaperalta@example.com;Elena345@;Berenjena,Zanahoria,Tomate,Espinaca;4
Gabriela;Vargas;gabrielavargas@example.com;Gabriela678#;Pepino,Apio,Espinaca,Pimiento;4
Maximiliano;Ríos;maximilianorios@example.com;Maximiliano901.!;Pimiento,Rúcula,Cilantro,Lechuga;4
Camila;Pérez;camilaperez@example.com;Camila234?;Cebolla,Tomate,Espinaca,Pepinillos;4
Santiago;Sánchez;santiagosanchez@example.com;Santiago567&;Perejil,Pepinillos,Berenjena,Remolacha;4
Valeria;Herrera;valeriaherrera@example.com;Valeria890.!;Pimiento,Espárragos,Puerro,Cilantro;4
Matías;Vega;matiasvega@example.com;Matias012$;Lechuga,Pepino,Apio,Espinaca;4
Luciana;Rojas;lucianarojas@example.com;Luciana345#;Tomate,Zanahoria,Espinaca,Berenjena;4
Joaquín;López;joaquinlopez@example.com;Joaquin678.?;Pepinillos,Rúcula,Cilantro,Pimiento;4
María;Carrillo;mariacarrillo@example.com;Maria901@;Cebolla,Espárragos,Remolacha,Lechuga;4
Emilio;Vargas;emiliovargas@example.com;Emilio234$;Pepino,Lechuga,Cilantro,Berenjena;4
Daniela;Lara;danielalara@example.com;Daniela567?;Berenjena,Rúcula,Zanahoria,Tomate;4
Sebastián;Cortés;sebastiancortes@example.com;Sebastian890.!;Pimiento,Pepinillos,Espinaca,Puerro;4
Isabella;Velasco;isabellavelasco@example.com;Isabella012@;Tomate,Puerro,Cilantro,Apio;4
Liam;Ortega;liamortega@example.com;Liam345$;Berenjena,Pepinillos,Espinaca,Cebolla;4
Lucía;Vargas;luciavargas@example.com;Lucia678@;Pimiento,Rúcula,Cilantro,Lechuga;4
Julián;Peña;julianpena@example.com;Julian901?;Cebolla,Remolacha,Tomate,Espinaca;4
Valentina;Mendoza;valentinamendoza@example.com;Valentina234#;Pepinillos,Cilantro,Espinaca,Berenjena;4
Sofía;Aguilar;sofiaaguilar@example.com;Sofia567.!;Tomate,Zanahoria,Espinaca,Pepino;4
Benjamín;Gómez;benjamingomez@example.com;Benjamin890&;Pimiento,Cilantro,Pepinillos,Lechuga;4
Valeria;Vera;valeriavera@example.com;Valeria012?;Cebolla,Tomate,Espinaca,Pimiento;4
Andrés;López;andreslopez@example.com;Andres123@;Lechuga,Pimiento,Espinaca,Pepinillos,Berenjena;5
María;Santos;mariasantos@example.com;Maria456#;Tomate,Zanahoria,Espinaca,Berenjena,Cilantro;5
Juan;Hernández;juanhernandez@example.com;Juan789.?;Pepino,Apio,Espinaca,Pimiento,Lechuga;5
Carolina;Torres;carolinatorres@example.com;Carolina012$;Cebolla,Tomate,Espinaca,Pepinillos,Remolacha;5
Diego;Vargas;diegovargas@example.com;Diego345!;Perejil,Pepinillos,Remolacha,Lechuga,Cilantro;5
Valentina;Mendoza;valentinamendoza@example.com;Valentina678@;Pimiento,Espárragos,Espinaca,Puerro,Lechuga;5
Sebastián;González;sebastiangonzalez@example.com;Sebastian901&;Cebolla,Remolacha,Tomate,Espinaca,Berenjena;5
Laura;Herrera;lauraherrera@example.com;Laura234.!;Pepinillos,Rúcula,Cilantro,Pimiento,Lechuga;5
Daniel;Ríos;danielrios@example.com;Daniel567$;Tomate,Pepinillos,Cilantro,Lechuga,Berenjena;5
Camila;Silva;camilasilva@example.com;Camila890?;Pimiento,Lechuga,Cilantro,Espinaca,Berenjena;5
Santiago;Guerrero;santiagoguerrero@example.com;Santiago012.!;Cebolla,Pepinillos,Rúcula,Cilantro,Tomate;5
Valeria;Ortega;valeriaortega@example.com;Valeria345#;Berenjena,Pepinillos,Remolacha,Lechuga,Cilantro;5
José;Cortés;josecortes@example.com;Jose678@;Pimiento,Cilantro,Rúcula,Pepinillos,Lechuga;5
Isabella;Vargas;isabellavargas@example.com;Isabella901&;Cebolla,Lechuga,Cilantro,Espinaca,Pimiento;5
Lucas;Nieto;lucasnieto@example.com;Lucas234.?;Tomate,Pepinillos,Espinaca,Berenjena,Cilantro;5
Ana;Paredes;anaparedes@example.com;Ana567.!;Pimiento,Espinaca,Cilantro,Pepinillos,Lechuga;5
Elena;Vega;elenavega@example.com;Elena890@;Cebolla,Remolacha,Tomate,Espinaca,Berenjena;5
Gabriel;Rojas;gabrielrojas@example.com;Gabriel012&;Pepinillos,Rúcula,Cilantro,Pimiento,Lechuga;5
Valentina;Gómez;valentinagomez@example.com;Valentina345#;Tomate,Lechuga,Cilantro,Espinaca,Berenjena;5
Alejandro;Lara;alejandrolara@example.com;Alejandro678.!;Pimiento,Cebolla,Pepinillos,Lechuga,Cilantro;5
María;Pérez;mariaperez@example.com;Maria901?;Cebolla,Tomate,Pepinillos,Espinaca,Berenjena;5
Juan;Cabrera;juancabrera@example.com;Juan234@;Lechuga,Pimiento,Cilantro,Pepinillos,Remolacha;5
Carolina;Castillo;carolinacastillo@example.com;Carolina567&;Tomate,Zanahoria,Espinaca,Berenjena,Cilantro;5
Diego;Rivas;diegorivas@example.com;Diego890.!;Pepino,Apio,Espinaca,Pimiento,Lechuga;5
Valentina;Paz;valentinapaz@example.com;Valentina012$;Cebolla,Tomate,Espinaca,Pepinillos,Remolacha;5
